Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Luxhøj, J.T., Shih, A.T., Ancel, E., Jones, M.","7003307129; 55586537200; 36052439700; 57225866893","Safety risk knowledge elicitation in support of aeronautical R&amp;D portfolio management: A case study",2012,"Annual International Conference of the American Society for Engineering Management 2012, ASEM 2012 - Agile Management: Embracing Change and Uncertainty in Engineering Management",,"",,676,684,,13,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883421437&partnerID=40&md5=f2fe0340ab394345b5b97d381b9a600f",Conference Paper,Final,"",Scopus,2-s2.0-84883421437
"Hanstad, D.V.","16028467400","Risk management in major sporting events: A participating national olympic team's perspective",2012,"Event Management",16,"3",,189,201,,13,10.3727/152599512X13459279626683,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84869470305&partnerID=40&md5=b6cfa71ce2c7dd72480790a24fe0ed5a",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84869470305
"Brooks, J.M., Carroll, J.S., Beard, J.W.","22633829200; 36143708800; 36711307300","Dueling stakeholders and dual-hatted systems engineers: Engineering challenges, capabilities, and skills in government infrastructure technology projects",2011,"IEEE Transactions on Engineering Management",58,"3", 5742786,589,601,,13,10.1109/TEM.2010.2058858,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960703446&partnerID=40&md5=98e8d09cc782f894917ecdb9b55f22d3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-79960703446
"Patel, M., Robinson, H.","57200588347; 7202477741","Impact of governance on project delivery of complex NHS PFI/PPP schemes",2010,"Journal of Financial Management of Property and Construction",15,"3",,216,234,,13,10.1108/13664381011087489,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84993025120&partnerID=40&md5=3c8e12f53fd2476c243748688485c621",Article,Final,"",Scopus,2-s2.0-84993025120
"Loosemore, M.","6701918491","Using multimedia to effectively engage stakeholders in risk management",2010,"International Journal of Managing Projects in Business",3,"2",,307,327,,13,10.1108/17538371011036608,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874995253&partnerID=40&md5=a4dcc4eae647cb7465c1180368403ae6",Article,Final,"",Scopus,2-s2.0-84874995253
"Schmitt, R.","41262637800","Dealing with wicked issues: Open strategizing and the camisea case",2010,"Journal of Business Ethics",96,"",,11,19,,13,10.1007/s10551-011-0938-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84864654321&partnerID=40&md5=d8bb11c080efc47753f8e9438c7f72b3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84864654321
"Basal, A.M., Steenkamp, A.L.","57191728901; 24528845400","A Saas-based approach in an E-learning system",2010,"International Journal of Information Science and Management",,"SPL.ISSUE1",,27,40,,13,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052716067&partnerID=40&md5=e994286d20e6fe085f0fd48aa50206ec",Article,Final,"",Scopus,2-s2.0-80052716067
"Clarke, A., Raffay, Á., Wiltshier, P.","55425163700; 36802367300; 23471007400","Losing it: Knowledge management in tourism development projects",2009,"Tourismos",4,"3",,149,166,,13,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78651492006&partnerID=40&md5=912b48e77402b383c0eb2ba3f186bea2",Article,Final,"",Scopus,2-s2.0-78651492006
"Basu, R., Little, C., Millard, C.","14520560600; 35221784200; 35221921100","Case study: A fresh approach of the Balanced Scorecard in the Heathrow Terminal 5 project",2009,"Measuring Business Excellence",13,"4",,22,33,,13,10.1108/13683040911006765,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72049099378&partnerID=40&md5=33a750d52d45e0a2c936fb90787fd6c3",Article,Final,"",Scopus,2-s2.0-72049099378
"Frederiksen, H.D., Mathiassen, L.","25633907200; 6603755299","A contextual approach to improving software metrics practices",2008,"IEEE Transactions on Engineering Management",55,"4",,602,616,,13,10.1109/TEM.2008.2005547,"https://www.scopus.com/inward/record.url?eid=2-s2.0-55349096492&partnerID=40&md5=3ed1324a9b3a33f6f9cbcc67aa777066",Article,Final,"",Scopus,2-s2.0-55349096492
"Havila, V., Salmi, A.","6507915852; 7101921856","Managing project ending",2008,"Managing Project Ending",,"",,1,112,,13,10.4324/9780203886663,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84917203890&partnerID=40&md5=7ea0171ac855799cdf5450f1ebc40e18",Book,Final,"",Scopus,2-s2.0-84917203890
"Ipsilandis, P.G., Samaras, G., Mplanas, N.","16309467600; 56428780900; 24544742800","A multicriteria satisfaction analysis approach in the assessment of operational programmes",2008,"International Journal of Project Management",26,"6",,601,611,,13,10.1016/j.ijproman.2007.09.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-49349104863&partnerID=40&md5=684531795594317dc9193c564a102c06",Article,Final,"",Scopus,2-s2.0-49349104863
"Gil, N., Beckman, S.","7003787724; 7003488702","Design reuse and buffers in high-tech infrastructure development: A stakeholder perspective",2007,"IEEE Transactions on Engineering Management",54,"3",,484,497,,13,10.1109/TEM.2007.900805,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34547866081&partnerID=40&md5=c5151d10b7683e58be3d294b8c3fc13b",Article,Final,"",Scopus,2-s2.0-34547866081
"Shepherd, E.S., Ennion, E.E.","14036358100; 15922644900","How has the implementation of the UK Freedom of Information Act 2000 affected archives and records management services?",2007,"Records Management Journal",17,"1",,32,51,,13,10.1108/09565690710730688,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33847113483&partnerID=40&md5=5bb80c948c4cf0128acb418b1f92afe2",Article,Final,"",Scopus,2-s2.0-33847113483
